id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9132704,Living Room in apartment North York,47567573,Chelson,,York University Heights,43.76205655,-79.49986735,Private room,30,1,2,1/31/2016,0.12,1,0
6832028,(4) Cozy Room near York University Toronto,24346665,Shanny,,York University Heights,43.76906851,-79.49913882,Private room,39,2,10,4/14/2017,0.45,8,272
14596547,Private room beside york uni,44098156,Jay,,York University Heights,43.76779403,-79.50139571,Private room,50,1,3,5/18/2017,0.32,5,365
8235594,"2 Bed + Den, 2 Bath TOWNHOUSE with ROOFTOP #00026",12742095,Emil & Heather,,York University Heights,43.76548043,-79.4967116,Entire home/apt,178,2,5,4/4/2017,0.31,23,365
9052835,Furnished Apartment Toronto,47232657,S M Fawaad,,York University Heights,43.76555817,-79.50430043,Entire home/apt,45,1,0,,,1,0
10772078,Sweet Home---Entire One Bedroom Apt (Walkout Bsmt),45436801,Wendy,,York University Heights,43.76480165,-79.49167329,Entire home/apt,35,2,12,5/19/2017,2.34,1,10
15888115,1 bedroom and office appartment at Subway station,103039584,Ella,,York University Heights,43.75081945,-79.46530377,Entire home/apt,59,2,5,5/31/2017,0.91,1,2
9842943,Cozy and convenient - with parking!,50683042,Margaret,,York University Heights,43.75032737,-79.46490841,Entire home/apt,70,3,1,12/27/2015,0.06,1,0
15790625,Cozy Condo Near Subway and Major Highways,102150863,Tara,,York University Heights,43.75266419,-79.46592032,Entire home/apt,99,2,7,2/15/2017,1.11,1,0
8238835,"Cozy Bedroom + Ensuite @ York University, Toronto",30753730,Jeishan,,York University Heights,43.76873969,-79.50225351,Private room,39,2,17,5/19/2017,0.81,5,307
18415023,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.76624627,-79.50432896,Private room,28,1,3,5/31/2017,3,10,345
5923285,"Snug BR @ York University, Toronto",30753730,Jeishan,,York University Heights,43.76839733,-79.50080737,Private room,41,2,11,5/31/2017,0.42,5,14
18700196,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.76702174,-79.4962502,Private room,38,1,4,5/29/2017,4,10,338
18707265,Cozy Room For Couples/Singles,130051102,Nnamdi,,York University Heights,43.76826768,-79.50395868,Private room,41,1,0,,,1,85
13007164,Private Suite york,44098156,Jay,,York University Heights,43.76818436,-79.50123475,Private room,45,1,19,5/27/2017,1.55,5,82
9250114,"Family hotell , York University",44619526,Sigang,,York University Heights,43.76961136,-79.50099973,Private room,26,5,0,,,3,63
18477472,Private simple room,121230803,Dogan,,York University Heights,43.75826285,-79.49220565,Private room,35,3,2,5/17/2017,2,2,365
18132114,Tidy one bedroom in North York,116976001,Dale,,York University Heights,43.74388471,-79.49179099,Private room,30,1,0,,,1,88
18240871,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.7660352,-79.50287674,Private room,36,1,4,6/1/2017,2.93,10,294
18931296,Room at York U for 7 days up,43488381,Runying,,York University Heights,43.76735089,-79.50301308,Private room,32,1,0,,,10,345
4934960,Beautiful cozy room in  condo,22760672,Berna,,York University Heights,43.75262315,-79.46547834,Private room,50,2,0,,,1,288
12836532,Nice Private Room in north york.,44098156,Jay,,York University Heights,43.76803924,-79.50126848,Private room,39,1,16,5/2/2017,1.24,5,354
