room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9759922,50157583,Shared room,,Weston-Pellam Park (91),1,0.0,4,1.0,84.0,,43.671117,-79.455889,2017-03-12 20:50:20.430803
13234739,18194342,Shared room,,Wychwood (94),0,0.0,4,1.0,65.0,,43.678863,-79.420966,2017-03-12 20:50:19.247223
17576830,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,58.0,,43.692714,-79.301944,2017-03-12 20:50:17.940090
6523290,8502051,Shared room,,University (79),12,4.0,4,1.0,63.0,,43.666291,-79.401647,2017-03-12 20:49:55.715253
8255036,8502051,Shared room,,University (79),11,4.0,4,1.0,66.0,,43.667135,-79.401506,2017-03-12 20:49:55.712394
4053382,7421135,Shared room,,University (79),28,4.5,4,1.0,68.0,,43.666733,-79.401444,2017-03-12 20:49:55.707443
4849643,7421135,Shared room,,University (79),21,4.5,4,1.0,68.0,,43.66709,-79.40136,2017-03-12 20:49:54.320181
14724462,8502051,Shared room,,University (79),1,0.0,3,1.0,68.0,,43.666314,-79.3999,2017-03-12 20:49:54.307258
17540454,41321159,Shared room,,Moss Park (73),0,0.0,2,1.0,65.0,,43.659475,-79.37522,2017-03-12 20:49:54.294750
15144880,28404168,Shared room,,Roncesvalles (86),1,0.0,2,1.0,46.0,,43.644752,-79.435111,2017-03-12 20:49:51.333028
5650457,29282715,Shared room,,Agincourt North (129),0,0.0,2,1.0,42.0,,43.809097,-79.266163,2017-03-12 20:49:51.329034
14904487,85744469,Shared room,,Hillcrest Village (48),0,0.0,2,1.0,48.0,,43.810351,-79.364102,2017-03-12 20:49:51.322798
5432698,28181139,Shared room,,Bay Street Corridor (76),8,4.5,2,1.0,52.0,,43.667933,-79.388217,2017-03-12 20:49:51.312549
309402,1591140,Shared room,,Mount Pleasant East (99),82,5.0,2,1.0,54.0,,43.70926,-79.377067,2017-03-12 20:49:49.967559
4644945,15902550,Shared room,,Greenwood-Coxwell (65),69,4.5,2,1.0,42.0,,43.671898,-79.326281,2017-03-12 20:49:49.945042
14826150,92612746,Shared room,,Newtonbrook East (50),2,0.0,2,1.0,42.0,,43.781754,-79.412798,2017-03-12 20:49:49.941558
17577034,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,39.0,,43.692746,-79.301196,2017-03-12 20:49:48.545792
16543728,95344940,Shared room,,Rosedale-Moore Park (98),0,0.0,2,1.0,31.0,,43.687437,-79.390409,2017-03-12 20:49:48.536549
17578548,45237656,Shared room,,Taylor-Massey (61),0,0.0,8,1.0,39.0,,43.692505,-79.30289,2017-03-12 20:49:47.161050
14267631,58788463,Shared room,,West Humber-Clairville (1),20,5.0,5,1.0,34.0,,43.731296,-79.614911,2017-03-12 20:49:47.158861
14281544,61123508,Shared room,,Willowdale East (51),0,0.0,2,1.0,41.0,,43.777932,-79.413402,2017-03-12 20:49:47.154560
7327225,38384255,Shared room,,Englemount-Lawrence (32),1,0.0,2,1.0,38.0,,43.718993,-79.444396,2017-03-12 20:49:47.151544
4492545,12033867,Shared room,,Bayview Village (52),6,4.0,2,1.0,34.0,,43.765312,-79.37981,2017-03-12 20:49:47.148347
14069640,16113742,Shared room,,Annex (95),1,0.0,2,1.0,38.0,,43.670555,-79.40044,2017-03-12 20:49:47.138609
14304567,85627631,Shared room,,Bay Street Corridor (76),12,5.0,2,1.0,33.0,,43.652995,-79.384168,2017-03-12 20:49:47.124524
15691868,101143632,Shared room,,North St.James Town (74),9,5.0,2,1.0,34.0,,43.668137,-79.377837,2017-03-12 20:49:45.668592
7403193,38200142,Shared room,,Moss Park (73),82,4.5,2,1.0,40.0,,43.658045,-79.370957,2017-03-12 20:49:45.651642
9064932,41773942,Shared room,,Moss Park (73),9,5.0,2,1.0,15.0,,43.656716,-79.369365,2017-03-12 20:49:44.360057
16378917,107273982,Shared room,,Moss Park (73),19,4.5,2,1.0,32.0,,43.657898,-79.370908,2017-03-12 20:49:44.342224
1545032,2396097,Shared room,,South Riverdale (70),0,0.0,4,1.0,222.0,,43.663413,-79.338615,2017-03-12 20:49:41.973967
12255652,3999603,Shared room,,Kennedy Park (124),0,0.0,1,1.0,279.0,,43.726491,-79.259565,2017-03-12 20:49:41.971720
3867653,18324268,Shared room,,Willowdale East (51),0,0.0,2,1.0,206.0,,43.768419,-79.410771,2017-03-12 20:49:40.746184
12932508,71007424,Shared room,,Bathurst Manor (34),0,0.0,2,1.0,152.0,,43.760674,-79.445006,2017-03-12 20:49:39.602046
16649787,107490688,Shared room,,Malvern (132),1,0.0,15,1.0,138.0,,43.79569,-79.222512,2017-03-12 20:49:38.370641
13696078,3992568,Shared room,,Waterfront Communities-The Island (77),10,5.0,4,1.0,136.0,,43.632325,-79.356562,2017-03-12 20:49:38.368030
11363128,59535195,Shared room,,Stonegate-Queensway (16),0,0.0,4,1.0,134.0,,43.626149,-79.51394,2017-03-12 20:49:38.365154
6750201,35343671,Shared room,,Waterfront Communities-The Island (77),1,0.0,1,1.0,106.0,,43.637268,-79.399944,2017-03-12 20:49:37.297465
8350059,44011860,Shared room,,Bay Street Corridor (76),0,0.0,1,1.0,107.0,,43.661683,-79.385328,2017-03-12 20:49:37.292304
8540030,44939645,Shared room,,North St.James Town (74),0,0.0,1,1.0,114.0,,43.669105,-79.379104,2017-03-12 20:49:37.289941
8653733,45479090,Shared room,,Kingsway South (15),0,0.0,1,1.0,113.0,,43.650918,-79.497948,2017-03-12 20:49:37.286384
14842824,20057460,Shared room,,South Parkdale (85),1,0.0,2,1.0,103.0,,43.63758,-79.425758,2017-03-12 20:49:35.781182
14529520,31823646,Shared room,,Waterfront Communities-The Island (77),1,0.0,1,1.0,84.0,,43.642749,-79.381017,2017-03-12 20:49:35.778333
3200370,1180733,Shared room,,Church-Yonge Corridor (75),0,0.0,1,1.0,92.0,,43.659827,-79.37725,2017-03-12 20:49:35.775265
9146137,47624987,Shared room,,Banbury-Don Mills (42),1,0.0,1,1.0,96.0,,43.729905,-79.335949,2017-03-12 20:49:35.771856
4463994,20487380,Shared room,,Waterfront Communities-The Island (77),2,0.0,2,1.0,84.0,,43.637713,-79.399604,2017-03-12 20:49:35.768308
7226420,37832344,Shared room,,Palmerston-Little Italy (80),0,0.0,2,1.0,69.0,,43.659271,-79.423631,2017-03-12 20:49:33.332624
12288385,621448,Shared room,,The Beaches (63),1,0.0,4,1.0,75.0,,43.677155,-79.300389,2017-03-12 20:49:33.329992
8614143,45315440,Shared room,,Church-Yonge Corridor (75),0,0.0,1,1.0,65.0,,43.668687,-79.382403,2017-03-12 20:49:33.323707
14136762,48914599,Shared room,,Mount Pleasant East (99),5,5.0,5,1.0,65.0,,43.708279,-79.379613,2017-03-12 20:49:33.321538
16491388,27021513,Shared room,,Greenwood-Coxwell (65),0,0.0,1,1.0,64.0,,43.662692,-79.328058,2017-03-12 20:49:33.319260
15057938,966705,Shared room,,Mimico (includes Humber Bay Shores) (17),0,0.0,1,1.0,68.0,,43.610396,-79.489239,2017-03-12 20:49:33.316748
8575910,43111475,Shared room,,Woodbine Corridor (64),0,0.0,1,1.0,75.0,,43.684191,-79.316149,2017-03-12 20:49:33.311263
16273055,49592459,Shared room,,Pleasant View (46),0,0.0,2,1.0,73.0,,43.798665,-79.336607,2017-03-12 20:49:33.308967
627217,3057451,Shared room,,Weston-Pellam Park (91),0,0.0,1,1.0,76.0,,43.673681,-79.460316,2017-03-12 20:49:33.303747
14826254,5905827,Shared room,,High Park North (88),0,0.0,1,1.0,76.0,,43.657898,-79.463726,2017-03-12 20:49:33.300894
2334361,11508116,Shared room,,Bayview Village (52),0,0.0,1,1.0,73.0,,43.787503,-79.373014,2017-03-12 20:49:33.298816
16282200,21227681,Shared room,,South Riverdale (70),1,0.0,4,1.0,75.0,,43.663795,-79.340356,2017-03-12 20:49:33.295789
13336172,4032576,Shared room,,Bay Street Corridor (76),0,0.0,3,1.0,81.0,,43.668358,-79.389101,2017-03-12 20:49:33.292949
15870170,102880078,Shared room,,Parkwoods-Donalda (45),0,0.0,2,1.0,76.0,,43.762386,-79.330625,2017-03-12 20:49:33.290704
13844027,4883384,Shared room,,South Riverdale (70),1,0.0,2,1.0,65.0,,43.664614,-79.350037,2017-03-12 20:49:33.288206
3517167,16758992,Shared room,,Waterfront Communities-The Island (77),47,4.5,2,1.0,75.0,,43.639158,-79.398186,2017-03-12 20:49:33.284237
629995,1698603,Shared room,,Roncesvalles (86),2,0.0,1,1.0,49.0,,43.643717,-79.432827,2017-03-12 20:49:31.520615
13973367,15349217,Shared room,,Niagara (82),0,0.0,2,1.0,54.0,,43.642086,-79.416882,2017-03-12 20:49:31.518422
13752511,55419966,Shared room,,Waterfront Communities-The Island (77),0,0.0,1,1.0,45.0,,43.642776,-79.400308,2017-03-12 20:49:31.515977
1822329,8024877,Shared room,,Trinity-Bellwoods (81),5,5.0,2,1.0,42.0,,43.647351,-79.410407,2017-03-12 20:49:31.512894
12388076,37832344,Shared room,,Palmerston-Little Italy (80),5,4.5,2,1.0,61.0,,43.659187,-79.42177,2017-03-12 20:49:31.510032
8186245,4769896,Shared room,,Dovercourt-Wallace Emerson-Junction (93),0,0.0,1,1.0,62.0,,43.667181,-79.434396,2017-03-12 20:49:31.507262
11483484,39942053,Shared room,,Cabbagetown-South St.James Town (71),0,0.0,2,1.0,49.0,,43.66366,-79.373365,2017-03-12 20:49:31.504452
13797078,44738680,Shared room,,Church-Yonge Corridor (75),0,0.0,1,1.0,53.0,,43.669869,-79.384438,2017-03-12 20:49:31.502075
6317047,32867050,Shared room,,Niagara (82),20,5.0,2,1.0,44.0,,43.635972,-79.405455,2017-03-12 20:49:31.493140
